scenario,year,B,C,I,E,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage
1987aaaa,1987,a,a,a,a,min,0.1,2030,-0.0,1.9400688471595925e-11,966735695182.7485,,93.38343133950416,-0.0,25000000.000013992,0.33898221335237044,32.154780707329536,0.0,,599940.6059653321,221745.09487752945,720440.967734504,76584.00014810803,4827.590003447267
1987aaaa,1987,a,a,a,a,max,0.1,2030,19.931332643722925,2.1040682302496988e-07,1045960916928.0986,-14.145426610732384,0.8009508398703937,522282794.164765,24999999.99792576,0.023780344252087294,113.86570401980323,132129.93738866603,0.9678025177245306,617855.8892287379,342337.56603235705,795241.8277729454,76584.00001083521,63883.3600313157
1987aaaa,1987,a,a,a,a,min,0.02,2035,2.3863113367191824,79.535756567635,975017682001.5789,-5.468959451878497,1.2872105409004424,99761775.20277676,74999999.99432692,0.917919283431486,82.15478385876469,20348.243041335823,0.7000343268398802,997214.5421827887,400711.0433296854,1158035.1312493137,40121.300093294325,77500.77667424935
1987aaaa,1987,a,a,a,a,max,0.02,2035,19.4448977507132,116.27469716145549,975713427974.305,-27.455776659652514,2.85686078493356,1726579006.894863,74999999.99747308,0.3598641189638836,178.01888284510684,153944.0906526093,0.7641515643251993,855654.5302443181,449258.5722582297,1301161.1873173488,40121.300192535855,1810033.406685829
1987aaaa,1987,a,a,a,a,min,0.05,2035,0.5070083017318403,16.898544874020068,999464984916.0525,-3.0804047948576874,0.9748456719761663,16352613.100172427,75000000.05888021,78.73332294791345,80.40969657074655,4120.25022490356,0.7345318417946786,1056639.6118275507,421803.49169656535,1230976.9488028497,40121.31567090159,163393.90271981657
1987aaaa,1987,a,a,a,a,max,0.05,2035,28.14397518636836,58.23706697043289,1001166338942.6785,-18.8744578129981,1.5931712714019337,1389228892.48491,74999999.99652031,0.17300253990645093,221.89099953065863,215347.60485930523,0.7964504567964462,812399.6349075063,536377.050340079,1365286.0852488552,40121.30007073798,1713327.2232452943
1987aaaa,1987,a,a,a,a,min,0.1,2035,-0.0,4.1445093761531237e-11,1010411714717.056,,336.3568930427857,-0.0,75000000.0000288,0.31354274298242996,75.59560526291452,0.0,,1071602.0846281257,425204.8230391244,1270071.819000401,40121.30060695619,117970.75516956006
1987aaaa,1987,a,a,a,a,max,0.1,2035,38.3345705004697,17.54389818977791,1043552353653.0238,-15.540099554150753,1.1182119199424727,1336212278.9469247,74999999.99923617,0.04083929065662603,277.9659668627493,289303.5962387999,0.8132905408353183,811789.0183622197,589728.7500039348,1517579.5318003297,40121.30002068952,2337839.2003055927
1987aaaa,1987,a,a,a,a,min,0.02,2040,29.18746633936285,972.8182529813777,1153405990678.7656,-4.926623824252827,1.277870523295821,1195465137.4102907,125000000.00032017,0.8099720466950876,279.52587998351305,239709.4929456688,0.7104451785748505,1125579.248246701,508079.4395327531,1984736.9411907245,31807.900255367545,4119823.2585785966
1987aaaa,1987,a,a,a,a,max,0.02,2040,45.600358607476096,1218.8759195951855,1154886687662.376,-23.006607835491685,1.997419987556022,2862174792.3795114,125000000.00910147,27221375.27967427,391.32995521465756,352758.5488068523,0.7640461856664453,957909.2992457751,590186.7959824719,2133120.9868941335,31807.901055025184,3582057.415583352
1987aaaa,1987,a,a,a,a,min,0.05,2040,27.606000842264706,920.1080080684578,1185294805068.5007,-1.630464020682562,0.886973968413971,799751998.1484598,125000000.00021043,0.13493494271066092,269.7667685148823,220416.8199069281,0.7298013749609531,1148706.8217196306,535445.8526328417,2108010.2797254347,32937.57769415242,4221256.639373172
1987aaaa,1987,a,a,a,a,max,0.05,2040,55.7197940526723,871.7834600517608,1187610223851.1562,-21.196820673643117,1.7656649613231816,3107615251.2639246,124999999.99907264,61641832.3879894,439.63187996848643,429749.71421038895,0.7712107853370662,1003810.4613707435,633336.438964264,2401871.200910292,31807.900072011053,4154054.8315071343
1987aaaa,1987,a,a,a,a,min,0.1,2040,26.740732743253883,891.2681268319934,1237043943299.9612,-0.5680155102846964,0.7489707471269125,663710123.6909969,125000007.71256714,914.9407355087487,244.00837762368468,208757.63712119818,0.746132508659616,1129484.327642315,542450.4917252605,2254262.1888118493,34553.85137340591,1742489.9505979014
1987aaaa,1987,a,a,a,a,max,0.1,2040,71.62196499830186,340.4963578190701,1241610576229.2227,-19.976666855188235,1.6470776603439057,3742358994.198042,124999999.98910013,108543703.73993558,547.7735880382108,549079.6509490749,0.7789394660663764,1082249.7107984312,727906.9367919811,2717901.3011140926,31807.900012537688,5592785.929126706
1987aaaa,1987,a,a,a,a,min,0.02,2045,28.216142361712922,940.4440249309695,1048736320465.2489,,100.74329650573928,91495994929.68832,200000000.00790763,38414040.4081804,354.1165755684758,239709.4884985006,0.6867860305052006,1094851.6793031204,508908.813241196,2018665.9123526611,31807.902058991705,4120612.824511896
1987aaaa,1987,a,a,a,a,max,0.02,2045,40.44560935369737,1028.3641349964525,1070170334518.7339,-53.69107094570737,4.826018455452948,6141405218.84929,199999996.6255163,78792266.35926987,426.0739315441881,352758.560929043,0.6770702056777661,925512.6335936869,586060.2205478058,2219852.7447269857,31807.90560508862,3597081.7892599613
