scenario,SEQ,SEQCOST,CCCOST,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,co2seq,dac,elec_cap,elec_cf,total_onwind,total_offwind,total_solar
aaa,a,a,a,max,0.1,2040,70.20251721379381,178.05938362669517,1161466686378.3206,-21.794222876189703,1.7506655754129423,124999999.9882199,54610441.05367048,550760.913797981,0.7591851990346895,996407.6725395648,559451.585331794,3386374.1317758495
aaa,a,a,a,min,0.02,2045,23.801031016826478,793.2883637910168,971516189090.3678,,94.12658989006164,200000000.0,193635.2724683002,215627.48983084614,0.6429790515458592,945885.4060829997,373609.5406157176,2275462.6408269093
aaa,a,a,a,max,0.02,2045,38.078944093268106,674.899802969812,990365379702.9204,-41.275697081387285,3.7239656884330716,199999999.99846488,18375296.35568773,332033.93619716994,0.676069362371957,821847.5102469439,456254.01852961944,2706377.3404807234
aaa,a,a,a,min,0.05,2045,22.792049581504916,759.6590125534083,980005124683.4949,,93.94177950500462,200000000.0000023,0.02342802128158884,191176.64713874762,0.6944381504916477,1006402.5625935842,384526.2954440558,2291248.309261362
aaa,a,a,a,max,0.05,2045,47.35909185284658,337.5581375942685,1021894601951.2396,-149.97571151278856,12.821800526482853,200000000.0000041,37912013.05706395,433052.7737980111,0.6470996422920685,861831.7020964585,517314.4229732917,2900782.9955737377
aaa,a,a,a,min,0.1,2045,22.85747213418002,761.839546242996,1013936482599.3064,,98.60188109684387,200000000.00027874,0.4897955583641217,168106.03439643135,0.7920086541845734,1007545.2081111848,448345.60552776477,2507610.745547547
aaa,a,a,a,max,0.1,2045,61.066237476178244,9.998490008483025e-06,1080627961581.523,0.0,60.23746887705891,196966198.62202704,52625864.70348059,550760.9171031746,0.6587458740810186,946762.5821928716,551398.8861307807,3384304.4357438255
aaa,a,a,a,min,0.02,2050,22.656019930472635,755.1251442827362,891250245060.3313,,87.84997413288728,275000000.0,32920657.448127877,215627.48983084614,0.6120452119944287,900704.2994724283,377815.80331123073,2376850.170727657
aaa,a,a,a,max,0.02,2050,38.19410095075742,454.2087106483612,912625850631.9944,-35.924577381692465,2.873918162583203,274999999.99988294,52261475.71898538,322119.0718683964,0.692240379948057,779407.8589918776,451928.50408883207,2869354.4830800295
aaa,a,a,a,min,0.05,2050,21.23581132711228,707.789591532581,897516469932.862,,88.48037314560398,275000000.0,16520206.693120131,191176.6471387476,0.6470220016613234,972444.4322205735,378899.3530238814,2319998.0172949457
aaa,a,a,a,max,0.05,2050,49.487656765189804,360.07276581983086,944624551170.8052,-26.965557838170106,1.7586070370118427,275000000.0,54094201.21674122,390579.1608832129,0.7401392419613295,822327.4406975275,508556.00458800094,2924882.0384716457
aaa,a,a,a,min,0.1,2050,20.450269460790544,637.0296942649325,926198717658.4109,,83.68265153165312,275000000.0002707,280851.0830433606,168106.03439643135,0.7085993717184789,957345.1788950304,434396.30654008524,2479844.9835479935
aaa,a,a,a,max,0.1,2050,67.8649104122756,23.766784752051567,995486864977.0347,-22.403104321879812,1.315608062878422,267121457.54771078,54961594.62965737,516826.1077771203,0.7591120726785671,906153.2968080838,549579.606896057,3364908.046359446
baa,b,a,a,min,0.02,2025,-0.0,1.174870250934183e-11,985011766991.4568,,59.87711436132527,0.0,0.1472472376407988,0.0,,382698.99213540903,45828.42615473886,463740.06594857766
baa,b,a,a,max,0.02,2025,3.8501278089675877,7.486920167115063e-08,999786942338.6914,-14.410811404137657,0.851287632084701,-2.0689020806540896,0.07902440878926034,24946.21379802788,0.9996955797173017,415518.93770858954,49932.82293925404,487567.1405264094
baa,b,a,a,min,0.05,2025,-0.0,2.8798861524730263e-11,985011770115.8772,,59.87981114084932,0.0,0.3079901422963295,0.0,,382697.9977566238,45828.427069004436,463742.1443224788
baa,b,a,a,max,0.05,2025,9.210637266983056,2.6170113780510598e-08,1021949707069.6538,-12.916913780391852,0.6396774760550363,-19.998219230654534,0.027490257740865175,59670.45958414128,0.9998332187110677,441813.5971681373,67473.70142301738,510504.6155781811
baa,b,a,a,min,0.1,2025,-0.0,5.840906378484658e-12,985011766253.4346,,59.87812661555808,0.0,0.11951500827399869,0.0,,382698.4797138226,45828.42621849575,463741.0680738577
baa,b,a,a,max,0.1,2025,17.12300959928436,4.553268460740205e-09,1058887648290.0002,-11.940462122802147,0.48552010719723276,-0.225248503692777,0.0043478417292710896,110944.30590196047,0.9997061136329465,475020.0484673842,96144.2008799451,526837.0540892286
baa,b,a,a,min,0.02,2030,-0.0,2.3041884462108767e-11,943334694530.1047,,79.64866377738738,50000000.00003507,0.19670898068927894,0.0,,525987.7836430988,123944.55247646687,948447.0349596054
baa,b,a,a,max,0.02,2030,4.997712024602889,3.526550210610346e-08,958919983487.9537,-18.004420950018307,1.2699274940596215,49999999.99994417,0.0034764686314067957,34034.84206619245,0.9357071618956141,552177.1902765109,132739.6644986755,999433.915596222
baa,b,a,a,min,0.05,2030,-0.0,4.5085272925161695e-11,943334695783.1953,,79.64865142882836,50000000.0000648,0.46947279249017165,0.0,,525987.8486787293,123944.76075844251,948448.2730461132
baa,b,a,a,max,0.05,2030,10.527804008093272,1.234619422208473e-07,982173308211.4155,-15.066328795312737,0.7840968781547282,49999999.99091118,0.013824680711889014,69256.2765224329,0.9765659413639735,570176.7451393631,151627.51993737873,1071077.831797385
baa,b,a,a,min,0.1,2030,-0.0,1.605643455117495e-11,943334689965.5015,,79.64854601388839,50000000.00001725,0.12489206510642074,0.0,,525987.7451335273,123944.70186270316,948447.7063979475
baa,b,a,a,max,0.1,2030,18.82374808890262,5.5465742790282235e-08,1020821083992.8062,-14.623784282469924,0.7230628682801495,49999999.97543648,0.007135283916427708,122867.27762053485,0.9866889237961952,595367.8578423231,184566.04773013614,1135624.6844981334
baa,b,a,a,min,0.02,2035,-0.0,4.3597866545989054e-11,897286434425.2861,,151.99635916002956,150000000.0000829,0.23292595306322048,0.0,,697234.9742918645,243502.52871321814,1346349.7411424248
baa,b,a,a,max,0.02,2035,11.264655073060439,47.36393431805122,903217591873.86,-23.32921286970942,1.9300603699827812,150000000.0003187,0.003940781740913702,85294.21946358868,0.8079846269161156,684717.5586355662,262368.47041085805,1587659.2755106739
